unitid,opeid
133960,00148500  
232265,00371400  
461643,04176300  
101198,00100301  
442851,3676400.0
461652,04176700  
453774,-2        
431929,03115900  
180133,-2      
133979,00148600  
101213,00100303  
232292,00995800  
461670,04176900  
363369,-2        
133997,02305800  
101231,00446200  
363378,00764801  
232308,00371500  
101240,00101700  
461689,04177100  
363387,723408.0
134015,-2      
461698,04177200  
363396,00926800
240790,03033000  
134024,04129900  
134033,-2      
363411,-2      
101268,00446201  
166805,02092100  
109721,00902200  
461722,04177600  
101277,04187200  
199582,00296800  
232353,03002200  
175254,-2      
461731,04177800  
169798,00225900  
101286,00101800  
166823,00217700  
232362,02362200  
396204,-2      
363439,00493402  
440916,00202500  
213491,02292700  
101301,00569900  
199607,00296000  
186186,00860900  
101310,-2      
134079,00148800  
363457,489816.0
166850,00212000  
461768,04178700  
199625,00789200  
429003,03142300  
134097,00148900  
199634,00296100  
429012,04157100  
166869,02231600  
480198,00322500  
461786,04179200  
199643,00296200  
429021,03132300  
232414,00375900  
134112,02218700  
101347,00101706  
232423,00372100  
461801,04179600  
126119,00134400  
232432,01073000
175272,00239400  
461810,04179700  
101365,00962107  
199670,04227600  
232441,-2      
166911,02063000  
232450,00400400  
461829,04180000  
363527,01298200  
199689,01179900  
461838,04180200  
101392,-2      
199698,00154001  
429076,03135300  
232469,00340402  
396310,03115400  
461847,04180300  
459268,01303911  
166939,00219200  
429085,03153300  
461856,04181200  
199713,00945908  
363554,-2      
166948,00219300  
429094,03156400  
404657,03099100  
461865,04181400  
199722,00296400  
363563,991755.0
429100,03159300  
166957,00217200  
461874,04182100  
199731,00846600  
232502,00926702  
101435,00101900  
199740,01119400  
238087,-2      
166975,02491700  
107035,00109702  
461892,04183300  
363590,02300100  
166984,00466700  
101453,02199700  
199759,00296300  
429137,03130400
134228,02338400  
475662,02285902  
363606,02300101  
199768,00297000  
429146,03148500  
134237,02362100  
101471,03002500  
429155,03129300
366438,03027200  
461926,04184200  
101480,00102000  
199786,00546300  
167020,1151000.0
232557,02053000  
461935,04184400  
363633,00996200  
199795,00943000  
429173,03127400
232566,00371900  
461944,04184700  
101499,00106010  
429182,03133300
232575,00865900  
101505,00102200  
197142,00289600  
167048,-2      
179052,00542900  
101514,00101300  
232593,859200.0
461069,-2.0
134291,02307400  
431983,02546300  
461980,04185700  
199838,00990300  
363679,02568500  
429216,03138400  
232609,00372000  
134307,03079800  
101541,00102300  
481137,04193800  
488934,00531100  
232618,02175800  
461999,04185900  
199856,00484400  
232627,02071600
167093,00216400  
462008,04186300  
199865,00297900  
459295,04173800  
440925,03031402  
363712,03256300  
101569,00105900  
134343,00149000  
142540,-2      
462026,04187300  
199883,00648300  
232654,-2      
366456,00562004  
462035,04188300  
199892,00298000  
232663,-2      
134361,-2        
462044,04188800  
481146,04203800  
232672,00372300  
101602,00898800  
199908,00298200  
462053,04189600  
429289,03153402  
148007,00164000  
462062,04189800  
232690,01016401
199926,00298300  
462071,04191900  
126164,02165200  
199935,-2        
462080,2075437.0
429313,-2      
232706,00372400  
167172,00926200
167181,00216506  
101648,00102600  
199953,00484500  
462099,2075448.0
232724,02111600  
134422,02325100  
363800,02288200
462105,2075453.0
432199,1072795.0
148016,00174400  
462114,2075456.0
199971,03570300  
462123,2075458.0
199980,03009500  
167215,00891600  
462132,2075461.0
167224,02163500  
462141,2075467.0
199999,00298600  
134468,02558500
462150,2075473.0
124502,02580700
200013,00869408  
167251,00748400  
232788,00962900  
200022,00298800  
462169,2075480.0
167260,00219700  
232797,00372600  
134495,00787000  
462178,2075483.0
168148,00221900  
101736,00569700  
363882,02287903  
462187,2075485.0
134510,02188900  
363891,-2      
462196,2075491.0
429429,-2      
167288,00218700  
462202,2075494.0
200059,00298900  
481173,4208000.0
134529,04162500  
363907,01252502  
363916,01252501  
475714,04192100  
167312,00217300  
404718,03008800  
200086,02553700  
167321,00748600  
363934,02559000  
462239,940702.0
232867,00522300  
134574,02279600  
462257,1212807.0
169886,02594700
462266,1212808.0
167358,00219900  
200129,02298200  
475723,04191500  
134608,00149300  
442958,03704300  
232919,02320900  
200156,00299000  
429535,-2      
167394,00214000  
208123,03783400  
462309,04175800  
232937,00376500  
134635,-2      
200174,00911000
470269,4118801.0
364016,02623600  
232946,00372700  
462327,04185401  
364025,03072200  
462336,04186900  
415659,-2      
101897,00103100  
442967,03678300  
200208,02236500  
462354,04193700  
232982,00372800  
101912,00103300  
200217,00299200  
462363,10732942  
429599,00732954  
200226,00299300  
462372,10732943  
429605,-2      
167464,00220200  
134699,-2      
200244,935400.0
462390,72098818  
415668,-2      
134714,02257900  
233019,00375100  
101949,00106006  
442976,03611300  
134723,02493500
200262,03087200  
364104,01355600
233037,00915900  
446394,03822400  
396888,-2      
364122,03098002  
474881,01091302  
197221,00290000  
364131,03098003  
429669,-2      
137148,02179918  
101994,00569200  
167534,00217500  
210711,02144000  
200305,00299600  
478591,01301602  
167543,748800.0
134778,-2      
120768,00125500  
233091,00499200  
429702,-2      
364168,01091300  
200332,00299700  
102030,00103000  
197230,00290100  
134811,00887800  
233116,00992800  
102049,00103600  
436474,00758604  
102058,04067300  
366535,03026516  
377458,02334401  
167598,00220600  
102067,00569100  
396985,-2      
102076,00103800  
200387,01229500  
224545,03170300  
102094,00105700  
167631,01193000  
426758,-2      
453923,-2.0
102100,001057A1  
134875,2293202.0
164474,00211600  
233189,02223100  
134909,00732910  
233222,-2      
200466,02188200  
364308,02614901  
364317,2116005.0
134945,00149500  
481243,04210700  
200484,01205900  
364326,2614900.0
143181,02317302  
233259,00373100  
364335,02615001  
429872,-2      
167729,00218800  
486707,02099707  
167738,00466600  
186335,02061800  
233277,00373200  
453941,-2        
167747,-2      
233286,01159600  
102216,01123700  
131724,00145500
233295,00373300  
233301,00373400  
382948,023427A1  
102234,00104100  
246415,02326000  
233310,00916000  
167783,00220800  
486716,02533605  
384209,3076400.0
437565,3396300.0
167792,00964500  
233329,02342700  
102261,02270400  
137193,-2      
233338,00370700  
200572,00300800  
102270,00104400  
167808,-2      
233347,-2      
443030,03684300  
233356,01004300  
200590,03079000  
382957,02342701  
167826,-2      
233365,01290300  
135063,00149700  
102298,00104600  
167835,00220900  
233374,00374400  
159045,00548814  
404806,00890201  
448497,00732922  
475866,03010632  
102313,00573400  
429997,022792A9
200624,02128600  
102322,00104800  
481322,04213300  
430005,-2      
200633,00489814  
102331,00104703  
167871,01238600  
233408,02140000  
235510,03071805  
233417,02140002  
430032,-2      
233426,00373600  
475811,-2        
135124,02597100  
397270,03308300  
102359,00104900  
430041,-2      
167899,00221100  
102368,00104700  
167905,00807800  
430050,2263102.0
135142,02287100  
191825,02182000
102377,00105000  
208211,-2      
233462,01239600
135160,00150100  
200697,00300900  
102395,02170600  
364548,01071700  
430087,01014802  
233480,02358500  
135179,02228300  
430096,02074001  
200721,02512600  
186371,00262901  
135188,00150200  
164526,00216047  
364566,2345800.0
143075,2337800.0
233499,373900.0
102429,00573300  
364575,02057400  
233505,-2      
430120,-2      
432135,031261B2
364593,2580100.0
233523,-2      
481289,04211900  
430139,-2      
233532,03014800
364609,02572100  
451316,4133300.0
430148,723402.0
233541,00373700  
364618,2545000.0
430157,03010612  
200785,00962105  
364627,01120600  
430166,03010613  
200794,02345600  
364636,00888600  
430175,2100402.0
168032,02137000  
432144,03343300  
135267,00755800  
430184,00145911  
404949,-2        
135276,00558500  
448530,12098849.0
364654,00790700
430193,-2      
200828,00819400  
135294,00558600  
200837,-2      
430218,02079415  
233611,00373800  
200846,00312301  
397456,-2      
120856,00793100
430227,00966405  
233620,02313200  
200855,-2        
102553,01146200  
430245,03035303  
233639,00866100  
200873,03457300  
159090,00548815  
430254,03280400  
168111,-2      
233648,00726000  
102580,00884300  
415774,3162300.0
430263,00732948  
233657,03096500  
200891,02324400
454005,-2        
233666,00953500  
397508,-2      
120865,00125800  
230092,367706.0
397517,-2      
364751,02272401  
463056,00141701  
233684,00145901  
102614,00106300  
364760,02536700  
102623,-2      
430306,04137300  
475857,-2.0
102632,00106500  
430315,-2      
135407,00561200  
397553,-2      
364788,-2        
233718,00374200  
135416,2148300.0
430333,02075417
397571,01298800
430342,02332845  
200970,-2      
364812,02291200  
102669,00106100  
430351,00732905  
364821,01190200  
430360,00732918  
233754,00687100  
148186,-2      
131803,00145900  
377564,00379801  
430379,00732960  
233772,00371200  
201007,00301015  
120883,00132900  
430388,00732921  
102711,03160300  
201016,01289100  
430397,-2      
168254,00222600  
430403,02558704  
235574,-2      
168263,00218900  
397641,2612800.0
201034,02562300  
448567,42098866  
364876,02589200  
168272,02161300  
137272,00807500  
364885,2305810.0
168281,00222700  
135522,00560800  
364900,-2      
397669,-2      
481340,04213800  
201070,02261400  
233842,00374300  
186432,00263800  
430467,03161300
397702,-2      
135559,04227500  
201098,03117000  
430476,03162400  
201104,00301200  
364946,00996300  
430485,03164300  
168342,00222900  
364955,00946600  
430494,03165300
364964,01278300  
233897,00374700  
135595,03152300
364973,02569300  
233903,00709900  
406051,3081500.0
201140,00301300  
430519,03166400
233912,375200.0
135610,00177201  
102845,02576900  
233921,00375400  
201159,03051400  
430537,03167300
230135,00943300  
180984,00254100  
412599,03026517  
201177,00648700  
430555,03167600
233949,00376000  
135647,02316200  
430564,03169300  
168421,00223300  
135656,-2      
201195,00301400  
430573,03172300  
168430,00219000  
220561,00349700
399443,-2      
430582,03114700  
135674,02154700
430591,00125400  
432214,1072747.0
135692,02601800
201229,02163900  
365073,02543800  
430616,02067600  
365082,02583100
372143,01323300  
404912,02217104  
365091,02520000  
135717,00150600  
135726,00153600  
102960,-2      
365107,3721400.0
135735,02501500  
430652,03175300
443146,03680300  
234049,02178100
201283,00994100  
365125,02537200  
168519,2068700.0
201292,-2      
430670,03177300  
168528,00223400  
397906,-2      
365143,02589100  
135771,02283801  
234076,00374500  
377616,02286103  
168546,00223500  
234085,00375300  
168555,02595700  
103024,-2      
432232,32098816.0
443155,03664300  
397942,03113300  
430713,03179600
168573,03124000  
397951,-2      
430722,03180300  
448619,01242504  
234119,00953700  
365198,01034200  
168591,00223600  
234128,-2      
430740,01259500
234137,00376200  
201371,00301600  
365213,00834300  
168607,00223700  
430759,00533700
168616,01063900
443164,03473400  
234155,00376400  
430768,03128600  
234164,00376600  
201399,02342705  
365240,02497800  
430777,03108300  
234173,00376700  
430786,03101700
175564,00240201  
430795,02073400  
115490,723405.0
234191,02108800  
365268,02211300
120953,00125900  
201432,00301801  
131876,00146000  
430810,03182300  
365277,00543600  
234207,00376800  
201441,00301800  
234216,942000.0
430829,03183300
234225,02610100  
430838,03186300
214023,03109100  
221661,00351800  
201469,00267808  
365310,03012107  
430847,3187301.0
168704,-2      
135939,03026508  
463621,153410.0
201478,02073300  
201487,-2        
430865,03190300
135957,149913.0
201496,02192100  
103194,-2      
201502,-2      
430883,02145800  
168740,00223800  
430892,01265700
159197,02166200  
398130,03128700  
155104,00191900  
430908,02169600  
365374,00996500  
201539,02140700  
430917,03105400  
365383,02529800  
168777,-2      
136011,2121801.0
201548,00302300  
103246,02583300
365392,02530400  
168786,00223900  
430935,03157600  
430953,03109600  
136048,03113400  
430962,02193300  
234359,02197600  
430971,03128400  
136066,01246117  
430980,3195400.0
168838,467304.0
201609,01267200  
136075,2305700.0
365453,2554300.0
168847,00467300  
201618,01216600  
459587,00732968  
430999,3197300.0
201627,01216603  
234401,02504900  
230214,02556800  
398246,-2      
365480,02060800  
431017,03198400  
443207,03590400  
201645,00302400  
434955,32098818.0
431026,3448300.0
168883,00224000  
201654,00302500  
431035,03200400  
168892,02285700  
103361,1146205.0
431044,03200500  
201672,01104600  
201681,01224800  
201690,00302600  
230223,2557700.0
431071,03203300  
437574,03391300  
443216,03650600  
365541,-2      
431080,03204300
423528,031261A7
122676,001280A1  
136172,00984100  
168944,02517400
398325,03223303
136206,407215.0
431099,03205400  
234492,02291300  
199847,00297800  
136190,00561000
365569,02148700  
201733,-2      
221670,00351700  
431114,03138300  
142850,02264100
201742,01064200  
103440,00106200  
431123,02576100  
201751,01088000  
431132,02243800  
234526,4135200.0
121008,2255600.0
431141,03067500  
136233,00151000  
